TSC Code,Proficiency Level,Proficiency Description,Range of Application,TSC Key ID,TSC Application ID
EPW-MAI-2045-1.1,2,Follow policies and procedures that assist facilities maintenance management,"Range of application includes, but is not limited to: 

- Cable
- Transformer
- Switchgear
- Reactors
- Substation 
- Direct Current (DC) Units
- Protection Relays
",904,118
EPW-MAI-3045-1.1,3,Implement policies and procedures that assist facilities maintenance management,"Range of application includes, but is not limited to: 

- Cable
- Transformer
- Switchgear
- Reactors
- Substation 
- Direct Current (DC) Units
- Protection Relays
",904,119
EPW-MAI-4045-1.1,4,"Develop facilities maintenance management policies and procedures in accordance to Transmission and Distribution related legislations, regulations and technical reference","Range of application includes, but is not limited to: 

- Cable
- Transformer
- Switchgear
- Reactors
- Substation 
- Direct Current (DC) Units
- Protection Relays
",904,120
EPW-MAI-5045-1.1,5,"Drive facilities maintenance management policies and procedures in accordance to Transmission and Distribution related legislations, regulations and technical reference","Range of application includes, but is not limited to: 

- Cable
- Transformer
- Switchgear
- Reactors
- Substation 
- Direct Current (DC) Units
- Protection Relays
",904,121
EPW-OUS-2016-1.1,2,Apply access control policies by following the access limitation and responsibilities granted,"Range of application includes, but is not limited to:
- Gas Systems Operations
- Transmission and Distribution
- Automated systems 
- Smart grids
- Smart homes
- Substation designs
",905,122
EPW-OUS-3016-1.1,3,"Develop access control policies in alignment with the organisation's policies and cybersecurity advisories","Range of application includes, but is not limited to:
- Gas Systems Operations
- Transmission and Distribution
- Automated systems 
- Smart grids
- Smart homes
- Substation designs
",905,123
EPW-OUS-4016-1.1,4,Develop organisational access control frameworks to determine granting and revocation of user access control rights,"Range of application includes, but is not limited to:
- Gas Systems Operations
- Transmission and Distribution
- Automated systems 
- Smart grids
- Smart homes
- Substation designs
",905,124
EPW-OUS-2003-1.1,2,"Provide real time incident and status reporting, and identify affected systems and user groups.","Range of application includes, but is not limited to:
- Power Generation
- Distributed Generation
- Town Gas Plant Maintenance
",906,125
EPW-OUS-3003-1.1,3,"Troubleshoot incidents, escalating alerts to relevant stakeholders, and analyse root causes and implications of incidents.","Range of application includes, but is not limited to:
- Power Generation
- Distributed Generation
- Town Gas Plant Maintenance
",906,126
EPW-OUS-4003-1.1,4,"Develop incident management procedures and synthesise incident-related analyses to distil key insights, resolve incidents and establish mitigating and preventive solutions.","Range of application includes, but is not limited to:
- Power Generation
- Distributed Generation
- Town Gas Plant Maintenance
",906,127
EPW-OUS-5003-1.1,5,"Direct incident response strategies and teams in the remediation, resolution, communication and post-mortem of large-scale, unpredictable cyber incidents.","Range of application includes, but is not limited to:
- Power Generation
- Distributed Generation
- Town Gas Plant Maintenance
",906,128
EPW-OUS-6003-1.1,6,"Lead collaboration across industries to co-develop strategies to manage cyber incidents on an industry, national or international scale.","Range of application includes, but is not limited to:
- Power Generation
- Distributed Generation
- Town Gas Plant Maintenance
",906,129
EPW-OUS-2017-1.1,2,"Apply cybersecurity frameworks and practices in the planning, preparation and execution of work activities including network segregation","Range of application includes, but is not limited to:
- Gas Systems Operations
- Transmission and Distribution
",907,130
EPW-OUS-3017-1.1,3,Supervise the implementation of cybersecurity frameworks and practices,"Range of application includes, but is not limited to:
- Gas Systems Operations
- Transmission and Distribution
",907,131
EPW-OUS-4017-1.1,4,Resolve issues in the implementation of Execute cybersecurity frameworks,"Range of application includes, but is not limited to:
- Gas Systems Operations
- Transmission and Distribution
",907,132
EPW-OUS-5017-1.1,5,"Evaluate the implementation of cybersecurity frameworks to ensure effective execution for the control of operations, maintenance, contractor and other work activities","Range of application includes, but is not limited to:
- Gas Systems Operations
- Transmission and Distribution
",907,133
EPW-OUS-6017-1.1,6,Set direction for the implementation of cybersecurity strategies to meet transmission and distribution network objectives,"Range of application includes, but is not limited to:
- Gas Systems Operations
- Transmission and Distribution
",907,134
EPW-OUS-2018-1.1,2,Support the detection and monitoring of cyber risks,"Range of application includes, but is not limited to:
- Gas Systems Operations
- Transmission and Distribution
",908,135
EPW-OUS-4018-1.1,4,Oversee the detection and monitoring of cyber risks,"Range of application includes, but is not limited to:
- Gas Systems Operations
- Transmission and Distribution
",908,136
EPW-OUS-4019-1.1,4,Perform audits on operational technology security systems through penetration testing and vulnerability assessments,"Range of application includes, but is not limited to:
- Power Generation
- Distributed Generation
- Town Gas Plant Maintenance
",909,137
EPW-OUS-5019-1.1,5,Lead the implementation of vulnerability assessments and penetration testing activities and identify areas of non-compliance based on audit findings,"Range of application includes, but is not limited to:
- Power Generation
- Distributed Generation
- Town Gas Plant Maintenance
",909,138
EPW-OUS-6019-1.1,6,Formulate frameworks conducting penetration testing and vulnerability assessments,"Range of application includes, but is not limited to:
- Power Generation
- Distributed Generation
- Town Gas Plant Maintenance
",909,139
EPW-OUS-4020-1.1,4,"Implement operational technology security frameworks, standard operating procedures and risk mitigation plans for operational technology security of daily operations, research on the latest operational technology security trends","Range of application includes, but is not limited to:
- Power Generation
- Distributed Generation
- Town Gas Plant Maintenance
",910,140
EPW-OUS-5020-1.1,5,"Develop the operational technology security frameworks, standard operating procedures and risk mitigation plans for operational technology security of daily operations, recommend improvements to operational technology based on research conducted","Range of application includes, but is not limited to:
- Power Generation
- Distributed Generation
- Town Gas Plant Maintenance
",910,141
EPW-OUS-6020-1.1,6,"Set the strategy for the operational technology security framework, standard operating procedures and risk management for operational technology of daily operations, and establish process improvements for operational technology","Range of application includes, but is not limited to:
- Power Generation
- Distributed Generation
- Town Gas Plant Maintenance
",910,142
EPW-OUS-2021-1.1,2,Recognise cyber threats and system vulnerabilities and recommend methods to eliminate them,"Range of application includes, but is not limited to:
- Gas Systems Operations
- Transmission and Distribution
",911,143
EPW-OUS-3021-1.1,3,Analyse cyber threats and system vulnerabilities and review mitigation measures,"Range of application includes, but is not limited to:
- Gas Systems Operations
- Transmission and Distribution
",911,144
EPW-OUS-4021-1.1,4,Develop organisational frameworks on cyber threat and system vulnerabilities,"Range of application includes, but is not limited to:
- Gas Systems Operations
- Transmission and Distribution
",911,145
EPW-EPM-2054-1.1,2,"Carry out physical inspections of assigned plants, equipment and systems, and identify any discrepancies, omissions and/or errors against the existing plant, equipment and system diagrams","Range of application includes, but is not limited to:
- Mechanical Systems and Auxiliaries/Ancillaries: 
- Steam turbines, gas turbines, boilers, Heat Recovery Steam Generator (HRSG), air/fuel gas compressor, natural gas system, electro chlorination plant, waste water treatment plant, water treatment plant, fuel preparation system, feed water flow system, condensate polishing plant, fire-fighting system, receiving & metering system, lubricating oil system, fuel oil storage tanks, diesel storage tanks
- Electrical Systems and Auxiliaries/Ancillaries: 
- Micro Electro Mechanical Systems (MEMS), electrical installation bus system, generator, protection relay, Uninterrupted Power Supply (UPS), Fence Intrusion Detection System (FIDS), high voltage equipment, motors, transformers, switchgears, cables, back-up batteries, motorised valves, transformer rectifier
- Controls & Instrumentation Systems and Auxiliaries/Ancillaries: 
- Distributed Control Systems, PLC systems, SCADA, Human Machine Interface (HMI), Fence Intrusion Detection System (FIDS), equipment controls, pressure and temperature transmitters, valve positioners, pneumatic/ electronic controllers, solenoid valves, transducers, control valves, control actuators, pressure and temperature switches, gas detectors
",918,146
EPW-EPM-3054-1.1,3,"Analyse reading plants, equipment and systems diagrams, as well as verify any discrepancies, omissions and/or errors found","Range of application includes, but is not limited to:
- Mechanical Systems and Auxiliaries/Ancillaries: 
- Steam turbines, gas turbines, boilers, Heat Recovery Steam Generator (HRSG), air/fuel gas compressor, natural gas system, electro chlorination plant, waste water treatment plant, water treatment plant, fuel preparation system, feed water flow system, condensate polishing plant, fire-fighting system, receiving & metering system, lubricating oil system, fuel oil storage tanks, diesel storage tanks
- Electrical Systems and Auxiliaries/Ancillaries: 
- Micro Electro Mechanical Systems (MEMS), electrical installation bus system, generator, protection relay, Uninterrupted Power Supply (UPS), Fence Intrusion Detection System (FIDS), high voltage equipment, motors, transformers, switchgears, cables, back-up batteries, motorised valves, transformer rectifier
- Controls & Instrumentation Systems and Auxiliaries/Ancillaries: 
- Distributed Control Systems, PLC systems, SCADA, Human Machine Interface (HMI), Fence Intrusion Detection System (FIDS), equipment controls, pressure and temperature transmitters, valve positioners, pneumatic/ electronic controllers, solenoid valves, transducers, control valves, control actuators, pressure and temperature switches, gas detectors
",918,147
EPW-EPM-3058-1.1,3,Design solar Photovoltaic (PV) systems and their integration to the power grid based on recommended technical specifications and project requirements,"Range of application includes, but is not limited to:
- AC/DC cable sizes
- DC connectors 
- Junction boxes
",922,148
EPW-EPM-4058-1.1,4,Refine solar Photovoltaic (PV) systems design to incorporate the latest technologies and capabilities to ensure that project requirements are met,"Range of application includes, but is not limited to:
- AC/DC cable sizes
- DC connectors 
- Junction boxes
",922,149
EPW-EPM-4054-1.1,4,"Resolve discrepancies, omissions and/or errors found and propose changes to plant, equipment and system diagrams, in accordance with updates and as-installed information","Range of application includes, but is not limited to:
- Mechanical Systems and Auxiliaries/Ancillaries: 
- Steam turbines, gas turbines, boilers, Heat Recovery Steam Generator (HRSG), air/fuel gas compressor, natural gas system, electro chlorination plant, waste water treatment plant, water treatment plant, fuel preparation system, feed water flow system, condensate polishing plant, fire-fighting system, receiving & metering system, lubricating oil system, fuel oil storage tanks, diesel storage tanks
- Electrical Systems and Auxiliaries/Ancillaries: 
- Micro Electro Mechanical Systems (MEMS), electrical installation bus system, generator, protection relay, Uninterrupted Power Supply (UPS), Fence Intrusion Detection System (FIDS), high voltage equipment, motors, transformers, switchgears, cables, back-up batteries, motorised valves, transformer rectifier
- Controls & Instrumentation Systems and Auxiliaries/Ancillaries: 
- Distributed Control Systems, PLC systems, SCADA, Human Machine Interface (HMI), Fence Intrusion Detection System (FIDS), equipment controls, pressure and temperature transmitters, valve positioners, pneumatic/ electronic controllers, solenoid valves, transducers, control valves, control actuators, pressure and temperature switches, gas detectors
",918,150
EPW-EPM-5054-1.1,5,Review and endorse proposed changes to equipment diagrams and propose potential areas of improvements,"Range of application includes, but is not limited to:
- Mechanical Systems and Auxiliaries/Ancillaries: 
- Steam turbines, gas turbines, boilers, Heat Recovery Steam Generator (HRSG), air/fuel gas compressor, natural gas system, electro chlorination plant, waste water treatment plant, water treatment plant, fuel preparation system, feed water flow system, condensate polishing plant, fire-fighting system, receiving & metering system, lubricating oil system, fuel oil storage tanks, diesel storage tanks
- Electrical Systems and Auxiliaries/Ancillaries: 
- Micro Electro Mechanical Systems (MEMS), electrical installation bus system, generator, protection relay, Uninterrupted Power Supply (UPS), Fence Intrusion Detection System (FIDS), high voltage equipment, motors, transformers, switchgears, cables, back-up batteries, motorised valves, transformer rectifier
- Controls & Instrumentation Systems and Auxiliaries/Ancillaries: 
- Distributed Control Systems, PLC systems, SCADA, Human Machine Interface (HMI), Fence Intrusion Detection System (FIDS), equipment controls, pressure and temperature transmitters, valve positioners, pneumatic/ electronic controllers, solenoid valves, transducers, control valves, control actuators, pressure and temperature switches, gas detectors
",918,151
EPW-EPM-2055-1.1,2,Prepare schematics and drawings of protection systems and relays,"Range of application includes, but is not limited to:
- Current transformer and/or voltage transformer (CT/VT) circuits 
- Trip circuits 
- Protection relays used in substations
- Distance protection
- Differential protection
- Busbar protection, 
- Main and backup protection
",919,152
EPW-EPM-3055-1.1,3,Develop proposals and schematics of protection systems and relays,"Range of application includes, but is not limited to:
- Current transformer and/or voltage transformer (CT/VT) circuits 
- Trip circuits 
- Protection relays used in substations
- Distance protection
- Differential protection
- Busbar protection, 
- Main and backup protection
",919,153
EPW-EPM-4055-1.1,4,Review technical proposals and schematics of protection systems and relays for new substations or circuits and prepare complex protection systems proposals for transmission and distribution substations,"Range of application includes, but is not limited to:
- Current transformer and/or voltage transformer (CT/VT) circuits 
- Trip circuits 
- Protection relays used in substations
- Distance protection
- Differential protection
- Busbar protection, 
- Main and backup protection
",919,154
EPW-EPM-5055-1.1,5,"Formulate procedures and policies to guide the development and review of proposals and schematics of protection systems and relays in accordance with latest industry developments, trends and best practices","Range of application includes, but is not limited to:
- Current transformer and/or voltage transformer (CT/VT) circuits 
- Trip circuits 
- Protection relays used in substations
- Distance protection
- Differential protection
- Busbar protection, 
- Main and backup protection
",919,155
EPW-EPM-3056-1.1,3,Interpret factory audits and factory acceptance tests,"Range of application includes, but is not limited to:

- Cable circuits
- Transformer/Shunt reactor
- Switchgear
- Low-voltage (LV) board
- Low-voltage (LV) overground box
- Substation
- Building and civil works
- Ducts
- Optical fibre cable
- Low tension, low tension current transformer and whole current meters
",920,156
EPW-EPM-4056-1.1,4,"Witness factory audits, type tests and factory acceptance tests, and recommend equipment and/or process design changes","Range of application includes, but is not limited to:

- Cable circuits
- Transformer/Shunt reactor
- Switchgear
- Low-voltage (LV) board
- Low-voltage (LV) overground box
- Substation
- Building and civil works
- Ducts
- Optical fibre cable
- Low tension, low tension current transformer and whole current meters
",920,157
EPW-EPM-5056-1.1,5,"Analyse causes of failure during factory acceptance tests, type tests and factory audits, and recommend changes in testing methods","Range of application includes, but is not limited to:

- Cable circuits
- Transformer/Shunt reactor
- Switchgear
- Low-voltage (LV) board
- Low-voltage (LV) overground box
- Substation
- Building and civil works
- Ducts
- Optical fibre cable
- Low tension, low tension current transformer and whole current meters
",920,158
EPW-EPM-6056-1.1,6,Review factory test and audit outcomes to optimise equipment specifications and drive continuous improvement efforts in equipment procurement,"Range of application includes, but is not limited to:

- Cable circuits
- Transformer/Shunt reactor
- Switchgear
- Low-voltage (LV) board
- Low-voltage (LV) overground box
- Substation
- Building and civil works
- Ducts
- Optical fibre cable
- Low tension, low tension current transformer and whole current meters
",920,159
EPW-EPM-2058-1.1,2,Administer site assessment procedures to determine technical specifications required for solar Photovoltaic (PV) systems,"Range of application includes, but is not limited to:
- AC/DC cable sizes
- DC connectors 
- Junction boxes
",922,160
EPW-EPM-3059-1.1,3,Develop substation drawings and layouts according to specifications and requirements,"Range of application includes, but is not limited to:

- Cable circuits
- Transformer/Shunt reactor
- Switchgear
- Low-voltage (LV) board
- Low-voltage (LV) overground box
- Substation
- Building and civil works
- Ducts
- Optical fibre cable
- Low tension, low tension current transformer, and whole current meters
- Fire prevention and alarm systems
- Heating Ventilation and Air Conditioning (HVAC) systems
- Electrical and lighting systems
",923,161
EPW-EPM-4059-1.1,4,"Run pre-engineering studies to support substation designing, prepare substation drawings and layouts and conduct quality checks","Range of application includes, but is not limited to:

- Cable circuits
- Transformer/Shunt reactor
- Switchgear
- Low-voltage (LV) board
- Low-voltage (LV) overground box
- Substation
- Building and civil works
- Ducts
- Optical fibre cable
- Low tension, low tension current transformer, and whole current meters
- Fire prevention and alarm systems
- Heating Ventilation and Air Conditioning (HVAC) systems
- Electrical and lighting systems
",923,162
EPW-EPM-5059-1.1,5,Refine substation designs and recommend methods for improvement to enhance quality,"Range of application includes, but is not limited to:

- Cable circuits
- Transformer/Shunt reactor
- Switchgear
- Low-voltage (LV) board
- Low-voltage (LV) overground box
- Substation
- Building and civil works
- Ducts
- Optical fibre cable
- Low tension, low tension current transformer, and whole current meters
- Fire prevention and alarm systems
- Heating Ventilation and Air Conditioning (HVAC) systems
- Electrical and lighting systems
",923,163
EPW-EPM-6059-1.1,6,Develop and review guidelines and policies for the design development of substations and establish methods for process improvement,"Range of application includes, but is not limited to:

- Cable circuits
- Transformer/Shunt reactor
- Switchgear
- Low-voltage (LV) board
- Low-voltage (LV) overground box
- Substation
- Building and civil works
- Ducts
- Optical fibre cable
- Low tension, low tension current transformer, and whole current meters
- Fire prevention and alarm systems
- Heating Ventilation and Air Conditioning (HVAC) systems
- Electrical and lighting systems
",923,164
EPW-MPR-2024-1.1,2,Consolidate electricity metering data and information for analysis of metering issues,"Range of application includes, but is not limited to:
- Advanced Metering Infrastructure (AMI) 
- Standard, digital and dial meters
- Economy 7 meters
- Prepaid meters
",927,165
EPW-MPR-3024-1.1,3,Analyse metering data anomalies and inaccuracies and liaise with relevant stakeholders on such issues,"Range of application includes, but is not limited to:
- Advanced Metering Infrastructure (AMI) 
- Standard, digital and dial meters
- Economy 7 meters
- Prepaid meters
",927,166
EPW-MPR-4024-1.1,4,Review overall metering data trends and coordinate activities and communication with relevant stakeholders,"Range of application includes, but is not limited to:
- Advanced Metering Infrastructure (AMI) 
- Standard, digital and dial meters
- Economy 7 meters
- Prepaid meters
",927,167
EPW-MPR-5024-1.1,5,Develop targets and plans to drive metering data management and communication with relevant stakeholders,"Range of application includes, but is not limited to:
- Advanced Metering Infrastructure (AMI) 
- Standard, digital and dial meters
- Economy 7 meters
- Prepaid meters
",927,168
EPW-MPR-6024-1.1,6,"Formulate strategies on targets and plans, drive improvements to metering data management and communication with relevant stakeholders","Range of application includes, but is not limited to:
- Advanced Metering Infrastructure (AMI) 
- Standard, digital and dial meters
- Economy 7 meters
- Prepaid meters
",927,169
EPW-MPR-2026-1.1,2,Apply principles and processes of operation and maintenance of gas network system and equipment,"Range of application includes, but is not limited to:
- Gas network system and equipment
- Supervisory Control and Data Acquisition (SCADA)
- Gas Transportation IT System Solution (GTSS)
- Online pipeline simulation
- Global fleet management systems 
- Gas and electricity mapping systems 
",929,170
EPW-MPR-3026-1.1,3,Implement and monitor the operation and maintenance of the gas network system and equipment,"Range of application includes, but is not limited to:
- Gas network system and equipment
- Supervisory Control and Data Acquisition (SCADA)
- Gas Transportation IT System Solution (GTSS)
- Online pipeline simulation
- Global fleet management systems 
- Gas and electricity mapping systems 
",929,171
EPW-MPR-4026-1.1,4,Develop the operation and maintenance of the gas network system and equipment,"Range of application includes, but is not limited to:
- Gas network system and equipment
- Supervisory Control and Data Acquisition (SCADA)
- Gas Transportation IT System Solution (GTSS)
- Online pipeline simulation
- Global fleet management systems 
- Gas and electricity mapping systems 
",929,172
EPW-MPR-5026-1.1,5,Formulate operation and maintenance of the gas network system and equipment,"Range of application includes, but is not limited to:
- Gas network system and equipment
- Supervisory Control and Data Acquisition (SCADA)
- Gas Transportation IT System Solution (GTSS)
- Online pipeline simulation
- Global fleet management systems 
- Gas and electricity mapping systems 
",929,173
EPW-MPR-2027-1.1,2,Identify abnormalities that arise from the network system and take corrective actions to restore the system back to normal,"Range of application includes, but is not limited to:
- Supervisory Control and Data Acquisition (SCADA)
- Gas Transportation IT System Solution (GTSS)
- Online pipeline simulation
- Global fleet management systems
- Gas and electricity mapping systems
",931,174
EPW-MPR-3027-1.1,3,Monitor abnormalities that arise from the network system by controlling the transmission and distribution network and associated facilities in the network system,"Range of application includes, but is not limited to:
- Supervisory Control and Data Acquisition (SCADA)
- Gas Transportation IT System Solution (GTSS)
- Online pipeline simulation
- Global fleet management systems
- Gas and electricity mapping systems
",931,175
EPW-MPR-4027-1.1,4,Analyse the possible root causes of abnormalities that arise from the network system by developing the network system control for the transportation of gas supplies,"Range of application includes, but is not limited to:
- Supervisory Control and Data Acquisition (SCADA)
- Gas Transportation IT System Solution (GTSS)
- Online pipeline simulation
- Global fleet management systems
- Gas and electricity mapping systems
",931,176
EPW-MPR-5027-1.1,5,Plan network system control for the transportation of gas supplies in order to determine the possible root cause of abnormalities that arise from the network system,"Range of application includes, but is not limited to:
- Supervisory Control and Data Acquisition (SCADA)
- Gas Transportation IT System Solution (GTSS)
- Online pipeline simulation
- Global fleet management systems
- Gas and electricity mapping systems
",931,177
EPW-MPR-6027-1.1,6,Formulate measures in dealing with abnormalities that arise from the network system by reviewing the processes and operating procedures of the network System Control Centre (SCC),"Range of application includes, but is not limited to:
- Supervisory Control and Data Acquisition (SCADA)
- Gas Transportation IT System Solution (GTSS)
- Online pipeline simulation
- Global fleet management systems
- Gas and electricity mapping systems
",931,178
EPW-MPR-3028-1.1,3,"Apply shift monitoring, remote control and testing procedures of the distribution network and equipment","Range of application includes, but is not limited to:
- Cables, transformers, switchgear, substations, direct current (DC) power units, protection relays, fault and/or disturbance recorders
",932,179
EPW-MPR-4028-1.1,4,"Coordinate high voltage network supply restoration, review fault and outage reports, and test results to determine need for follow-up measures","Range of application includes, but is not limited to:
- Cables, transformers, switchgear, substations, direct current (DC) power units, protection relays, fault and/or disturbance recorders
",932,180
EPW-MPR-5028-1.1,5,"Formulate and review policies, procedures, strategies and performance improvement initiatives for network monitoring, control and supply restoration","Range of application includes, but is not limited to:
- Cables, transformers, switchgear, substations, direct current (DC) power units, protection relays, fault and/or disturbance recorders
",932,181
EPW-MPR-2029-1.1,2,Support routine process control procedures and monitoring under supervision,"Range of application includes, but is not limited to:
- Plant Operations Systems: 
- Co-generation systems, combined cycle gas turbine, Heat Recovery Steam Generator (HRSG), gas turbine, steam turbine, boiler, Programmable Logic Controller (PLC), distributed control systems, including valves, transmitters, meters and transformers, Supervisory Control and Data Acquisition (SCADA), natural gas system, generator, plant electrical equipment

- Plant Operations Auxiliaries or Ancillaries: 
- Biomass plants, water treatment plant, waste treatment plant, waste water recovery system, fuel preparation systems, feed water flow system, lubricant oil system, barring gear, air compressor, gas compressor

- Multi-Utility Systems: 
- Water desalination plant, de-mineralisation plant, steam recovery systems, Programmable Logic Controller (PLC), Distributed Control systems, water, steam or gas analysers 

- Multi-Utility Auxiliaries or Ancillaries: 
- Fuel preparation systems, oil system, cooling towers
",933,182
EPW-MPR-3029-1.1,3,Interpret routine process control procedures and perform monitoring independently,"Range of application includes, but is not limited to:
- Plant Operations Systems: 
- Co-generation systems, combined cycle gas turbine, Heat Recovery Steam Generator (HRSG), gas turbine, steam turbine, boiler, Programmable Logic Controller (PLC), distributed control systems, including valves, transmitters, meters and transformers, Supervisory Control and Data Acquisition (SCADA), natural gas system, generator, plant electrical equipment

- Plant Operations Auxiliaries or Ancillaries: 
- Biomass plants, water treatment plant, waste treatment plant, waste water recovery system, fuel preparation systems, feed water flow system, lubricant oil system, barring gear, air compressor, gas compressor

- Multi-Utility Systems: 
- Water desalination plant, de-mineralisation plant, steam recovery systems, Programmable Logic Controller (PLC), Distributed Control systems, water, steam or gas analysers 

- Multi-Utility Auxiliaries or Ancillaries: 
- Fuel preparation systems, oil system, cooling towers
",933,183
EPW-MPR-4029-1.1,4,Inspect process control and monitoring activities in accordance to standard operating procedures,"Range of application includes, but is not limited to:
- Plant Operations Systems: 
- Co-generation systems, combined cycle gas turbine, Heat Recovery Steam Generator (HRSG), gas turbine, steam turbine, boiler, Programmable Logic Controller (PLC), distributed control systems, including valves, transmitters, meters and transformers, Supervisory Control and Data Acquisition (SCADA), natural gas system, generator, plant electrical equipment

- Plant Operations Auxiliaries or Ancillaries: 
- Biomass plants, water treatment plant, waste treatment plant, waste water recovery system, fuel preparation systems, feed water flow system, lubricant oil system, barring gear, air compressor, gas compressor

- Multi-Utility Systems: 
- Water desalination plant, de-mineralisation plant, steam recovery systems, Programmable Logic Controller (PLC), Distributed Control systems, water, steam or gas analysers 

- Multi-Utility Auxiliaries or Ancillaries: 
- Fuel preparation systems, oil system, cooling towers
",933,184
EPW-MPR-5029-1.1,5,Review process control policies and procedures to further improve plant operational efficiency and reliability,"Range of application includes, but is not limited to:
- Plant Operations Systems: 
- Co-generation systems, combined cycle gas turbine, Heat Recovery Steam Generator (HRSG), gas turbine, steam turbine, boiler, Programmable Logic Controller (PLC), distributed control systems, including valves, transmitters, meters and transformers, Supervisory Control and Data Acquisition (SCADA), natural gas system, generator, plant electrical equipment

- Plant Operations Auxiliaries or Ancillaries: 
- Biomass plants, water treatment plant, waste treatment plant, waste water recovery system, fuel preparation systems, feed water flow system, lubricant oil system, barring gear, air compressor, gas compressor

- Multi-Utility Systems: 
- Water desalination plant, de-mineralisation plant, steam recovery systems, Programmable Logic Controller (PLC), Distributed Control systems, water, steam or gas analysers 

- Multi-Utility Auxiliaries or Ancillaries: 
- Fuel preparation systems, oil system, cooling towers
",933,185
EPW-MPR-2030-1.1,2,"Apply test sampling, filtration, water treatment and demineralisation processes and procedures","Range of application includes, but is not limited to:
- Water desalination system, de-mineralisation plant or system, waste water treatment plant, ultra-pure water treatment plants 
- Filter systems
- High Efficiency Particulate Air (HEPA) filters, ultra-filtration membranes, synthetic activated carbon, ion-exchange
- Auxiliary systems
- Cooling towers, autoclaves, water storage tanks, stability test chambers 
- Laboratory equipment
- Bunsen burners, High-Performance Liquid Chromatography (HPLC), Gas Chromatography (GC), chemical reagents, Ultraviolet (UV) spectrum photometers, potential of Hydrogen (pH) conductivity meters, weighing balance,  burette, titration method and other laboratory glass wares
",934,186
EPW-MPR-3030-1.1,3,"Administer sampling, quality test, water treatment and demineralisation processes, and take necessary actions to prevent corrosion or contamination in plant equipment, steam and water piping","Range of application includes, but is not limited to:
- Water desalination system, de-mineralisation plant or system, waste water treatment plant, ultra-pure water treatment plants 
- Filter systems
- High Efficiency Particulate Air (HEPA) filters, ultra-filtration membranes, synthetic activated carbon, ion-exchange
- Auxiliary systems
- Cooling towers, autoclaves, water storage tanks, stability test chambers 
- Laboratory equipment
- Bunsen burners, High-Performance Liquid Chromatography (HPLC), Gas Chromatography (GC), chemical reagents, Ultraviolet (UV) spectrum photometers, potential of Hydrogen (pH) conductivity meters, weighing balance,  burette, titration method and other laboratory glass wares
",934,187
EPW-MPR-4030-1.1,4,"Recommend improvements to standard operating procedures, administer quality control and quality assurance procedures, and plan process controls for water treatment and demineralisation","Range of application includes, but is not limited to:
- Water desalination system, de-mineralisation plant or system, waste water treatment plant, ultra-pure water treatment plants 
- Filter systems
- High Efficiency Particulate Air (HEPA) filters, ultra-filtration membranes, synthetic activated carbon, ion-exchange
- Auxiliary systems
- Cooling towers, autoclaves, water storage tanks, stability test chambers 
- Laboratory equipment
- Bunsen burners, High-Performance Liquid Chromatography (HPLC), Gas Chromatography (GC), chemical reagents, Ultraviolet (UV) spectrum photometers, potential of Hydrogen (pH) conductivity meters, weighing balance,  burette, titration method and other laboratory glass wares
",934,188
EPW-MPR-5030-1.1,5,"Develop new or revise existing standard operating procedures for sampling and quality test, and manage process improvements to water quality control","Range of application includes, but is not limited to:
- Water desalination system, de-mineralisation plant or system, waste water treatment plant, ultra-pure water treatment plants 
- Filter systems
- High Efficiency Particulate Air (HEPA) filters, ultra-filtration membranes, synthetic activated carbon, ion-exchange
- Auxiliary systems
- Cooling towers, autoclaves, water storage tanks, stability test chambers 
- Laboratory equipment
- Bunsen burners, High-Performance Liquid Chromatography (HPLC), Gas Chromatography (GC), chemical reagents, Ultraviolet (UV) spectrum photometers, potential of Hydrogen (pH) conductivity meters, weighing balance,  burette, titration method and other laboratory glass wares
",934,189
EPW-MPR-2031-1.1,2,Apply workflows of technical service work and support specific aspect of technical service work,"Range of application includes, but is not limited to:
- Non-specialised gas appliances 
- Heating and cooking appliances
- Burners 
- Gas meters
- Gas pipes and fittings
- Gas detectors/measuring equipment
",935,190
EPW-MPR-3031-1.1,3,Interpret the technical service workflow to designated representatives for them to perform work within regulatory requirements,"Range of application includes, but is not limited to:
- Non-specialised gas appliances 
- Heating and cooking appliances
- Burners 
- Gas meters
- Gas pipes and fittings
- Gas detectors/measuring equipment
",935,191
EPW-MPR-4031-1.1,4,Review technical service workflow based on regulatory requirements and new product requirements,"Range of application includes, but is not limited to:
- Non-specialised gas appliances 
- Heating and cooking appliances
- Burners 
- Gas meters
- Gas pipes and fittings
- Gas detectors/measuring equipment
",935,192
EPW-MPR-5031-1.1,5,Drive efficiency and effectiveness of technical service workflow based on regulatory requirements and new product requirements,"Range of application includes, but is not limited to:
- Non-specialised gas appliances 
- Heating and cooking appliances
- Burners 
- Gas meters
- Gas pipes and fittings
- Gas detectors/measuring equipment
",935,193
EPW-TEM-2023-1.1,2,Apply evaluated technologies in organisation’s operations or processes,"Range of application includes, but is not limited to:
- Cloud computing systems
- Supervisory Control and Data Acquisition (SCADA)
- Energy trading platforms
- Systems, Applications and Products (SAP), customer relationship management and other business operations management platforms
- Virtual communication software
",936,194
