TSC Title,Proficiency Level,jobid,jtid,TSC Key ID
Condition-based Assets Monitoring Management,3,920,7989,511
Continuous Improvement Management,4,920,7990,524
Contract Administration and Management,3,920,7991,531
Data Collection and Analysis,4,920,7992,435
Design Thinking Practice,3,920,7993,436
Design for Maintainability,2,920,7994,481
Design for Safety,3,920,7995,483
"Drainage, Plumbing and Sanitary Systems Maintenance",4,920,7996,512
People Management,3,1336,7997,522
Electrical and Electronic Systems Maintenance,4,920,7998,513
Emergency Response Management,3,920,7999,503
Engineering Drawing Interpretation and Management,3,920,8000,568
Escalator and Travellator Systems Maintenance and Management,4,920,8001,514
Facilities Shut-down and Re-start,4,920,8002,440
Fire Protection System Maintenance,3,920,8003,515
Green Facilities Management,3,920,8004,492
Incident and Accident Investigation,3,920,8005,504
Indoor Environmental Quality Improvement,3,920,8006,493
Integrated Digital Delivery Application,3,920,8007,576
Inventory Management,4,920,8008,533
Life Cycle Costing and Analysis,3,920,8009,461
Lift Systems Maintenance and Management,4,920,8010,516
Maintenance Scheduling,3,920,8011,517
Manpower Planning,3,920,8012,521
People Management,3,920,8013,522
Procurement Coordination and Policy Development,4,920,8014,534
Project Cost,3,920,8015,463
Project Feasibility Assessment,4,920,8016,500
Project Management,3,920,8017,551
Project Risk Management,4,920,8018,552
Quality System Management,3,920,8019,563
Robotic and Automation Technology Application,3,920,8020,579
Security Surveillance Management,4,920,8021,441
Smart Facilities Management,3,920,8022,519
Stakeholder Management,4,920,8023,457
Technical Inspection,3,920,8024,564
Technical Presentation,4,920,8025,459
Technical Writing,4,920,8026,460
Technology Application,3,920,8027,581
Value Engineering,3,920,8028,495
Workplace Safety and Health Culture Development,3,920,8029,585
Workplace Safety and Health Framework Development and Implementation,3,920,8030,586
Air Conditioning and Mechanical Ventilation Systems Maintenance,1,930,8031,508
Building Management System Implementation and Control,2,930,8032,439
Civil Structure Maintenance,1,930,8033,510
Condition-based Assets Monitoring Management,1,930,8034,511
Continuous Improvement Management,2,930,8035,524
"Drainage, Plumbing and Sanitary Systems Maintenance",1,930,8036,512
Electrical and Electronic Systems Maintenance,1,930,8037,513
Emergency Response Management,2,930,8038,503
Engineering Drawing Interpretation and Management,1,930,8039,568
Escalator and Travellator Systems Maintenance and Management,1,930,8040,514
Facilities Shut-down and Re-start,2,930,8041,440
Fire Protection System Maintenance,2,930,8042,515
Green Facilities Management,2,930,8043,492
Incident and Accident Investigation,2,930,8044,504
Integrated Digital Delivery Application,2,930,8045,576
Inventory Management,3,930,8046,533
Lift Systems Maintenance and Management,1,930,8047,516
Quality System Management,2,930,8048,563
Robotic and Automation Technology Application,2,930,8049,579
Smart Facilities Management,1,930,8050,519
Workplace Safety and Health Culture Development,2,930,8051,585
Workplace Safety and Health Framework Development and Implementation,1,930,8052,586
Asset Management,4,845,8053,509
Business Negotiation,3,251,8054,592
Building Information Modelling Application,3,845,8055,574
Building Management System Implementation and Control,5,845,8056,439
Business Performance Management,4,845,8057,447
Condition-based Assets Monitoring Management,4,845,8058,511
Construction Technology,2,845,8059,465
Continuous Improvement Management,5,845,8060,524
Contract Administration and Management,4,845,8061,531
Data Collection and Analysis,4,845,8062,435
Design Thinking Practice,4,845,8063,436
Design for Maintainability,3,845,8064,481
Design for Safety,4,845,8065,483
Emergency Response Management,4,845,8066,503
Facilities Shut-down and Re-start,4,845,8067,440
Green Facilities Management,4,845,8068,492
Incident and Accident Investigation,4,845,8069,504
Indoor Environmental Quality Improvement,4,845,8070,493
Integrated Digital Delivery Application,4,845,8071,576
Inventory Management,5,845,8072,533
Life Cycle Costing and Analysis,4,845,8073,461
Maintenance Scheduling,4,845,8074,517
Manpower Planning,4,845,8075,521
People Management,4,845,8076,522
Procurement Coordination and Policy Development,5,845,8077,534
Project Cost,4,845,8078,463
Project Feasibility Assessment,4,845,8079,500
Project Management,4,845,8080,551
Project Risk Management,4,845,8081,552
Quality System Management,4,845,8082,563
Robotic and Automation Technology Application,4,845,8083,579
Security Surveillance Management,4,845,8084,441
Smart Facilities Management,4,845,8085,519
Stakeholder Management,5,845,8086,457
Technical Inspection,4,845,8087,564
Technical Presentation,5,845,8088,459
Technical Writing,4,845,8089,460
Technology Application,3,845,8090,581
Technology Scanning,4,845,8091,583
Value Engineering,4,845,8092,495
Workplace Safety and Health Culture Development,4,845,8093,585
Workplace Safety and Health Framework Development and Implementation,4,845,8094,586
Air Conditioning and Mechanical Ventilation Systems Maintenance,3,1336,8095,508
Building Management System Implementation and Control,3,1336,8096,439
Civil Structure Maintenance,3,1336,8097,510
Condition-based Assets Monitoring Management,2,1336,8098,511
Continuous Improvement Management,3,1336,8099,524
Contract Administration and Management,2,1336,8100,531
Data Collection and Analysis,3,1336,8101,435
Design for Safety,3,1336,8102,483
"Drainage, Plumbing and Sanitary Systems Maintenance",3,1336,8103,512
Electrical and Electronic Systems Maintenance,3,1336,8104,513
Emergency Response Management,3,1336,8105,503
Engineering Drawing Interpretation and Management,2,1336,8106,568
Escalator and Travellator Systems Maintenance and Management,3,1336,8107,514
Facilities Shut-down and Re-start,3,1336,8108,440
Fire Protection System Maintenance,3,1336,8109,515
Green Facilities Management,2,1336,8110,492
Incident and Accident Investigation,3,1336,8111,504
Indoor Environmental Quality Improvement,2,1336,8112,493
Integrated Digital Delivery Application,2,1336,8113,576
Inventory Management,4,1336,8114,533
Life Cycle Costing and Analysis,2,1336,8115,461
Procurement Coordination and Policy Development,3,1336,8116,534
Project Management,2,1336,8117,551
Project Risk Management,3,1336,8118,552
Quality System Management,2,1336,8119,563
Robotic and Automation Technology Application,2,1336,8120,579
Smart Facilities Management,2,1336,8121,519
Stakeholder Management,3,1336,8122,457
Technical Inspection,2,1336,8123,564
Technical Writing,3,1336,8124,460
Technology Application,2,1336,8125,581
Value Engineering,2,1336,8126,495
Workplace Safety and Health Culture Development,2,1336,8127,585
Workplace Safety and Health Framework Development and Implementation,2,1336,8128,586
Air Conditioning and Mechanical Ventilation Systems Maintenance,2,789,8129,508
Building Management System Implementation and Control,2,789,8130,439
Civil Structure Maintenance,2,789,8131,510
Condition-based Assets Monitoring Management,2,789,8132,511
Continuous Improvement Management,2,789,8133,524
"Drainage, Plumbing and Sanitary Systems Maintenance",2,789,8134,512
Electrical and Electronic Systems Maintenance,2,789,8135,513
Emergency Response Management,2,789,8136,503
Engineering Drawing Interpretation and Management,2,789,8137,568
Escalator and Travellator Systems Maintenance and Management,2,789,8138,514
Facilities Shut-down and Re-start,2,789,8139,440
Fire Protection System Maintenance,3,789,8140,515
Green Facilities Management,2,789,8141,492
Incident and Accident Investigation,2,789,8142,504
Integrated Digital Delivery Application,2,789,8143,576
Inventory Management,3,789,8144,533
Lift Systems Maintenance and Management,2,789,8145,516
People Management,3,789,8146,522
Quality System Management,2,789,8147,563
Robotic and Automation Technology Application,2,789,8148,579
Smart Facilities Management,2,789,8149,519
Stakeholder Management,3,789,8150,457
Technical Inspection,2,789,8151,564
Technical Writing,2,789,8152,460
Technology Application,2,789,8153,581
Value Engineering,2,789,8154,495
Workplace Safety and Health Culture Development,2,789,8155,585
Workplace Safety and Health Framework Development and Implementation,2,789,8156,586
Budgeting,6,421,8157,443
Building Information Modelling Application,5,421,8158,574
Business Negotiation,6,421,8159,206
Business Performance Management,6,421,8160,447
Business Proposal Writing,5,421,8161,449
Change Management,6,421,8162,451
Competitive Business Strategy,6,421,8163,452
Construction Technology,5,421,8164,465
Continuous Improvement Management,6,421,8165,524
Data Collection and Analysis,6,421,8166,435
Design Thinking Practice,6,421,8167,436
Dispute Resolution,5,421,8168,550
Engineering Contract Management,6,421,8169,532
Ethical Climate,6,421,8170,454
Financial Management,6,421,8171,455
Green Building Strategy Implementation,6,421,8172,491
Innovation Management,6,421,8173,525
Integrated Digital Delivery Application,6,421,8174,576
Manpower Planning,5,421,8175,521
People Management,6,421,8176,522
Project Management,6,421,8177,551
Project Risk Management,5,421,8178,552
Research and Information Synthesis,5,421,8179,437
Stakeholder Management,6,421,8180,457
Strategy Development,6,421,8181,458
Technology Scanning,6,421,8182,583
Workplace Safety and Health Culture Development,6,421,8183,585
Workplace Safety and Health Framework Development and Implementation,6,421,8184,586
Asset Management,3,101,8185,509
Building Information Modelling Application,3,101,8186,574
Condition-based Assets Monitoring Management,2,101,8187,511
Construction Technology,2,101,8188,465
Continuous Improvement Management,2,101,8189,524
Critical Thinking,3,101,8190,434
Data Collection and Analysis,3,101,8191,435
Design for Maintainability,1,101,8192,481
Design for Manufacturing and Assembly,3,101,8193,482
Design for Safety,2,101,8194,483
Emergency Response Management,2,101,8195,503
Engineering Contract Management,2,101,8196,532
Green Building Strategy Implementation,2,101,8197,491
Incident and Accident Investigation,2,101,8198,504
Integrated Digital Delivery Application,2,101,8199,576
Procurement Coordination and Policy Development,3,101,8200,534
Project Management,3,101,8201,551
Project Risk Management,3,101,8202,552
Quality System Management,2,101,8203,563
Regulatory Submission and Clearance,3,101,8204,553
Stakeholder Management,3,101,8205,457
Technology Application,2,101,8206,581
Value Engineering,2,101,8207,495
Workplace Safety and Health Culture Development,2,101,8208,585
Workplace Safety and Health Framework Development and Implementation,2,101,8209,586
Asset Management,5,210,8210,509
Building Information Modelling Application,5,210,8211,574
Business Development,4,210,8212,444
Business Negotiation,5,210,8213,206
Condition-based Assets Monitoring Management,5,210,8214,511
Construction Technology,5,210,8215,465
Continuous Improvement Management,5,210,8216,524
Critical Thinking,5,210,8217,434
Data Collection and Analysis,6,210,8218,435
Design for Maintainability,3,210,8219,481
Design for Manufacturing and Assembly,5,210,8220,482
Design for Safety,4,210,8221,483
Dispute Resolution,5,210,8222,550
Emergency Response Management,5,210,8223,503
Engineering Contract Management,5,210,8224,532
Green Building Strategy Implementation,5,210,8225,491
Incident and Accident Investigation,4,210,8226,504
Integrated Digital Delivery Application,3,210,8227,576
Manpower Planning,5,210,8228,521
People Management,5,210,8229,522
Procurement Coordination and Policy Development,5,210,8230,534
Project Cost,5,210,8231,463
Project Feasibility Assessment,5,210,8232,500
Project Management,6,210,8233,551
Project Risk Management,5,210,8234,552
Quality System Management,5,210,8235,563
Regulatory Submission and Clearance,5,210,8236,553
Stakeholder Management,6,210,8237,457
Technical Writing,4,210,8238,460
Technology Scanning,5,210,8239,583
Value Engineering,4,210,8240,495
Workflow Management,5,210,8241,548
Workplace Safety and Health Culture Development,5,210,8242,585
Workplace Safety and Health Framework Development and Implementation,5,210,8243,586
Asset Management,3,446,8244,509
Building Information Modelling Application,3,446,8245,574
Condition-based Assets Monitoring Management,3,446,8246,511
Construction Technology,3,446,8247,465
Continuous Improvement Management,3,446,8248,524
Critical Thinking,4,446,8249,434
Data Collection and Analysis,4,446,8250,435
Design for Maintainability,2,446,8251,481
Design for Manufacturing and Assembly,4,446,8252,482
Design for Safety,3,446,8253,483
Dispute Resolution,4,446,8254,550
Emergency Response Management,3,446,8255,503
Engineering Contract Management,3,446,8256,532
Green Building Strategy Implementation,3,446,8257,491
Incident and Accident Investigation,3,446,8258,504
Integrated Digital Delivery Application,2,446,8259,576
Procurement Coordination and Policy Development,3,446,8260,534
Project Cost,3,446,8261,463
Project Management,4,446,8262,551
Project Risk Management,4,446,8263,552
Quality System Management,3,446,8264,563
Regulatory Submission and Clearance,4,446,8265,553
Stakeholder Management,4,446,8266,457
Technical Writing,3,446,8267,460
Technology Application,3,446,8268,581
Value Engineering,3,446,8269,495
Workflow Management,4,446,8270,548
Workplace Safety and Health Culture Development,3,446,8271,585
Workplace Safety and Health Framework Development and Implementation,3,446,8272,586
Asset Management,4,327,8273,509
Building Information Modelling Application,4,327,8274,574
Business Negotiation,4,327,8275,206
Condition-based Assets Monitoring Management,4,327,8276,511
Construction Technology,4,327,8277,465
Continuous Improvement Management,4,327,8278,524
Critical Thinking,4,327,8279,434
Data Collection and Analysis,5,327,8280,435
Design for Maintainability,2,327,8281,481
Design for Manufacturing and Assembly,4,327,8282,482
Design for Safety,3,327,8283,483
Dispute Resolution,4,327,8284,550
Emergency Response Management,4,327,8285,503
Engineering Contract Management,4,327,8286,532
Green Building Strategy Implementation,4,327,8287,491
Incident and Accident Investigation,3,327,8288,504
Integrated Digital Delivery Application,3,327,8289,576
Manpower Planning,4,327,8290,521
People Management,4,327,8291,522
Procurement Coordination and Policy Development,4,327,8292,534
Project Cost,4,327,8293,463
Project Feasibility Assessment,4,327,8294,500
Project Management,5,327,8295,551
Project Risk Management,4,327,8296,552
Quality System Management,4,327,8297,563
Regulatory Submission and Clearance,4,327,8298,553
Stakeholder Management,5,327,8299,457
Technical Writing,3,327,8300,460
Technology Application,4,327,8301,581
Technology Scanning,4,327,8302,583
Value Engineering,3,327,8303,495
Workflow Management,4,327,8304,548
Workplace Safety and Health Culture Development,4,327,8305,585
Workplace Safety and Health Framework Development and Implementation,4,327,8306,586
Building Information Modelling Application,3,878,8307,574
Construction Technology,2,878,8308,465
Contract Administration and Management,3,878,8309,531
Critical Thinking,3,878,8310,434
Data Collection and Analysis,3,878,8311,435
Design for Manufacturing and Assembly,2,878,8312,482
Ethical Climate,3,878,8313,454
Integrated Digital Delivery Application,2,878,8314,576
Life Cycle Costing and Analysis,2,878,8315,461
Measurement of Building and Construction Works,2,878,8316,462
Procurement Coordination and Policy Development,3,878,8317,534
Project Cost,3,878,8318,463
Research and Information Synthesis,2,878,8319,437
Stakeholder Management,3,878,8320,457
Technical Writing,2,878,8321,460
Technology Application,2,878,8322,581
Building Information Modelling Application,4,497,8323,574
Business Development,4,497,8324,444
Business Negotiation,5,497,8325,206
Business Performance Management,3,497,8326,447
Competitive Business Strategy,3,497,8327,452
Construction Technology,4,497,8328,465
Continuous Improvement Management,4,497,8329,524
Contract Administration and Management,5,497,8330,531
Critical Thinking,4,497,8331,434
Data Collection and Analysis,6,497,8332,435
Design Thinking Practice,4,497,8333,436
Design for Manufacturing and Assembly,5,497,8334,482
Dispute Resolution,5,497,8335,550
Ethical Climate,5,497,8336,454
Integrated Digital Delivery Application,5,497,8337,576
Life Cycle Costing and Analysis,5,497,8338,461
Measurement of Building and Construction Works,5,497,8339,462
People Management,4,497,8340,522
Procurement Coordination and Policy Development,5,497,8341,534
Project Cost,5,497,8342,463
Project Feasibility Assessment,5,497,8343,500
Project Risk Management,5,497,8344,552
Research and Information Synthesis,4,497,8345,437
Stakeholder Management,5,497,8346,457
Technical Presentation,5,497,8347,459
Technical Writing,4,497,8348,460
Technology Application,4,497,8349,581
Technology Scanning,4,497,8350,583
Value Engineering,4,497,8351,495
Building Information Modelling Application,3,1362,8352,574
Business Negotiation,3,1362,8353,206
Construction Technology,3,1362,8354,465
Continuous Improvement Management,2,1362,8355,524
Contract Administration and Management,4,1362,8356,531
Critical Thinking,3,1362,8357,434
Data Collection and Analysis,4,1362,8358,435
Design for Manufacturing and Assembly,3,1362,8359,482
Dispute Resolution,4,1362,8360,550
Ethical Climate,4,1362,8361,454
Integrated Digital Delivery Application,3,1362,8362,576
Life Cycle Costing and Analysis,3,1362,8363,461
Measurement of Building and Construction Works,3,1362,8364,462
Procurement Coordination and Policy Development,4,1362,8365,534
Project Cost,4,1362,8366,463
Project Feasibility Assessment,4,1362,8367,500
Project Risk Management,4,1362,8368,552
Research and Information Synthesis,2,1362,8369,437
Stakeholder Management,4,1362,8370,457
Technical Presentation,4,1362,8371,459
Technical Writing,3,1362,8372,460
Technology Application,3,1362,8373,581
Value Engineering,2,1362,8374,495
Building Information Modelling Application,4,391,8375,574
Business Development,3,391,8376,444
Business Negotiation,4,391,8377,206
Construction Technology,4,391,8378,465
Continuous Improvement Management,3,391,8379,524
Contract Administration and Management,4,391,8380,531
Critical Thinking,4,391,8381,434
Data Collection and Analysis,5,391,8382,435
Design Thinking Practice,3,391,8383,436
Design for Manufacturing and Assembly,4,391,8384,482
Dispute Resolution,4,391,8385,550
Ethical Climate,4,391,8386,454
Integrated Digital Delivery Application,4,391,8387,576
Life Cycle Costing and Analysis,4,391,8388,461
Measurement of Building and Construction Works,4,391,8389,462
People Management,3,391,8390,522
Procurement Coordination and Policy Development,4,391,8391,534
Project Cost,4,391,8392,463
Project Feasibility Assessment,4,391,8393,500
Project Risk Management,4,391,8394,552
Research and Information Synthesis,3,391,8395,437
Stakeholder Management,4,391,8396,457
Technical Presentation,5,391,8397,459
Technical Writing,4,391,8398,460
Technology Application,3,391,8399,581
Technology Scanning,3,391,8400,583
Value Engineering,3,391,8401,495
Aesthetic and Design Sensibility,4,1310,8402,606
Business Model Innovation,4,1310,8403,596
Business Negotiation,4,1310,8404,592
Business Presentation Delivery,4,1310,8405,593
Change Management,4,1310,8406,617
Conceptual Thinking,4,1310,8407,587
Creative Entrepreneurship,5,1310,8408,598
Critical Thinking,4,1310,8409,588
Cultural Sensitivity for Design,3,1310,8410,607
Data and Information Visualisation,4,1310,8411,590
Design Creation and Development,4,1310,8412,622
Design Thinking Practice,5,1310,8413,608
Digital and Physical Prototyping,3,1310,8414,625
Emerging Technology Synthesis,4,1310,8415,599
Empathetic Design,4,1310,8416,609
Facilitation,5,1310,8417,613
Imagination and Exploration,4,1310,8418,610
Narrative Design,4,1310,8419,614
Project Management,4,1310,8420,618
Qualitative Research,4,1310,8421,630
Scenario and Strategic Planning,4,1310,8422,602
Stakeholder Management,4,1310,8423,621
Systems Thinking,4,1310,8424,591
User Experience Design,4,1310,8425,633
User Testing and Usability Testing,4,1310,8426,634
Aesthetic and Design Sensibility,3,59,8427,606
Business Model Innovation,3,59,8428,596
Business Negotiation,3,59,8429,592
Business Presentation Delivery,3,59,8430,593
Conceptual Thinking,3,59,8431,587
Creative Entrepreneurship,4,59,8432,598
Critical Thinking,3,59,8433,588
Cultural Sensitivity for Design,3,59,8434,607
Data and Information Visualisation,3,59,8435,590
Design Thinking Practice,4,59,8436,608
Digital and Physical Prototyping,2,59,8437,625
Emerging Technology Synthesis,3,59,8438,599
Empathetic Design,3,59,8439,609
Facilitation,4,59,8440,613
Imagination and Exploration,3,59,8441,610
Narrative Design,3,59,8442,614
Stakeholder Management,3,59,8443,621
Systems Thinking,3,59,8444,591
Aesthetic and Design Sensibility,3,295,8445,606
Business Negotiation,3,295,8446,592
Business Risk Management,4,295,8447,597
Conceptual Thinking,3,295,8448,587
Contract Development and Management,4,295,8449,620
Critical Thinking,4,295,8450,588
Data Analysis and Interpretation,3,295,8451,589
Design Creation and Development,4,295,8452,622
Design Standards and Specification,4,295,8453,624
Design Sustainability and Ethics Management,3,295,8454,604
Design Thinking Practice,4,295,8455,608
Digital and Physical Prototyping,4,295,8456,625
Emerging Technology Synthesis,3,295,8457,599
Form Giving,3,295,8458,626
Imagination and Exploration,3,295,8459,610
Material Studies and Production Processes,4,295,8460,628
Product and Production Engineering,4,295,8461,629
Project Management,4,295,8462,618
Stakeholder Management,4,295,8463,621
Systems Thinking,3,295,8464,591
Technical Drawing,3,295,8465,632
User Testing and Usability Testing,4,295,8466,634
Aesthetic and Design Sensibility,3,251,8467,606
Brand Management,4,251,8468,595
Business Presentation Delivery,3,251,8469,593
Business Risk Management,4,251,8470,597
Change Management,4,251,8471,617
Conceptual Thinking,3,251,8472,587
Contract Development and Management,4,251,8473,620
Critical Thinking,4,251,8474,588
Data Analysis and Interpretation,3,251,8475,589
Design Sustainability and Ethics Management,3,251,8476,604
Design Thinking Practice,4,251,8477,608
Emerging Technology Synthesis,3,251,8478,599
Imagination and Exploration,4,251,8479,610
Product Management,4,251,8480,601
Project Management,4,251,8481,618
Stakeholder Management,4,251,8482,621
Systems Thinking,3,251,8483,591
User Testing and Usability Testing,4,251,8484,634
Aesthetic and Design Sensibility,4,690,8485,606
Business Negotiation,4,690,8486,592
Business Risk Management,5,690,8487,597
Conceptual Thinking,4,690,8488,587
Contract Development and Management,5,690,8489,620
Critical Thinking,5,690,8490,588
Data Analysis and Interpretation,4,690,8491,589
Design Creation and Development,5,690,8492,622
Design Standards and Specification,5,690,8493,624
Design Sustainability and Ethics Management,4,690,8494,604
Design Thinking Practice,5,690,8495,608
Digital and Physical Prototyping,5,690,8496,625
Emerging Technology Synthesis,4,690,8497,599
Form Giving,4,690,8498,626
Imagination and Exploration,4,690,8499,610
Material Studies and Production Processes,5,690,8500,628
Product and Production Engineering,5,690,8501,629
Project Management,5,690,8502,618
Stakeholder Management,5,690,8503,621
Systems Thinking,4,690,8504,591
Technical Drawing,4,690,8505,632
User Testing and Usability Testing,5,690,8506,634
Aesthetic and Design Sensibility,4,1244,8507,606
Behavioural Economics in Design,5,1244,8508,594
Business Model Innovation,4,1244,8509,596
Business Negotiation,4,1244,8510,592
Business Presentation Delivery,4,1244,8511,593
Business Risk Management,5,1244,8512,597
Change Management,5,1244,8513,617
Conceptual Thinking,4,1244,8514,587
Contract Development and Management,5,1244,8515,620
Critical Thinking,5,1244,8516,588
Cultural Sensitivity for Design,4,1244,8517,607
Data Analysis and Interpretation,5,1244,8518,589
Design Standards and Specification,5,1244,8519,624
Design Sustainability and Ethics Management,4,1244,8520,604
Design Thinking Practice,5,1244,8521,608
Emerging Technology Synthesis,4,1244,8522,599
Empathetic Design,5,1244,8523,609
Imagination and Exploration,5,1244,8524,610
Intellectual Property Management,4,1244,8525,605
Market Research,5,1244,8526,600
Product Management,6,1244,8527,601
Project Management,5,1244,8528,618
Proposal Writing Development,5,1244,8529,615
Scenario and Strategic Planning,5,1244,8530,602
Stakeholder Management,5,1244,8531,621
Systems Thinking,4,1244,8532,591
Trend Forecasting,5,1244,8533,603
User Testing and Usability Testing,4,1244,8534,634
Business Model Innovation,5,416,8535,596
Business Negotiation,5,416,8536,592
Business Presentation Delivery,5,416,8537,593
Change Management,5,416,8538,617
Conceptual Thinking,5,416,8539,587
Creative Entrepreneurship,6,416,8540,598
Critical Thinking,5,416,8541,588
Cultural Sensitivity for Design,4,416,8542,607
Data and Information Visualisation,5,416,8543,590
Design Creation and Development,5,416,8544,622
Emerging Technology Synthesis,5,416,8545,599
Empathetic Design,5,416,8546,609
Facilitation,5,416,8547,613
Imagination and Exploration,5,416,8548,610
Project Management,5,416,8549,618
Proposal Writing Development,5,416,8550,615
Qualitative Research,5,416,8551,630
Scenario and Strategic Planning,5,416,8552,602
Stakeholder Management,5,416,8553,621
Systems Thinking,5,416,8554,591
Trend Forecasting,5,416,8555,603
User Experience Design,5,416,8556,633
User Testing and Usability Testing,5,416,8557,634
Aesthetic and Design Sensibility,4,1167,8558,606
Behavioural Economics in Design,4,1167,8559,594
Brand Management,5,1167,8560,595
Business Model Innovation,4,1167,8561,596
Business Negotiation,3,1167,8562,592
Business Presentation Delivery,3,1167,8563,593
Conceptual Thinking,3,1167,8564,587
Critical Thinking,4,1167,8565,588
Cultural Sensitivity for Design,3,1167,8566,607
Data Analysis and Interpretation,4,1167,8567,589
Design Standards and Specification,4,1167,8568,624
Design Sustainability and Ethics Management,3,1167,8569,604
Design Thinking Practice,4,1167,8570,608
Emerging Technology Synthesis,4,1167,8571,599
Empathetic Design,4,1167,8572,609
Imagination and Exploration,4,1167,8573,610
Intellectual Property Management,4,1167,8574,605
Market Research,4,1167,8575,600
Product Management,5,1167,8576,601
Project Management,4,1167,8577,618
Proposal Writing Development,4,1167,8578,615
Scenario and Strategic Planning,4,1167,8579,602
Stakeholder Management,4,1167,8580,621
Systems Thinking,3,1167,8581,591
Trend Forecasting,4,1167,8582,603
User Testing and Usability Testing,4,1167,8583,634
Business Model Innovation,5,1134,8584,596
Business Negotiation,6,1134,8585,592
Business Opportunities Development,5,1134,8586,619
Business Presentation Delivery,5,1134,8587,593
Business Risk Management,6,1134,8588,597
Change Management,6,1134,8589,617
Conceptual Thinking,5,1134,8590,587
Content Development and Strategy,6,1134,8591,611
Creative Entrepreneurship,6,1134,8592,598
Critical Thinking,5,1134,8593,588
Design Sustainability and Ethics Management,6,1134,8594,604
Design Thinking Practice,6,1134,8595,608
Emerging Technology Synthesis,6,1134,8596,599
Empathetic Design,5,1134,8597,609
Imagination and Exploration,5,1134,8598,610
Intellectual Property Management,6,1134,8599,605
Material Studies and Production Processes,5,1134,8600,628
Product Management,6,1134,8601,601
Project Management,6,1134,8602,618
Scenario and Strategic Planning,6,1134,8603,602
Stakeholder Management,6,1134,8604,621
Systems Thinking,5,1134,8605,591
Trend Forecasting,5,1134,8606,603
Aesthetic and Design Sensibility,4,332,8607,606
Brand Management,4,332,8608,595
Business Negotiation,4,332,8609,592
Business Presentation Delivery,4,332,8610,593
Conceptual Thinking,4,332,8611,587
Content Development and Strategy,5,332,8612,611
Critical Thinking,4,332,8613,588
Cultural Sensitivity for Design,4,332,8614,607
Design Writing,5,332,8615,612
Empathetic Design,4,332,8616,609
Imagination and Exploration,4,332,8617,610
Narrative Design,5,332,8618,614
Scenario and Strategic Planning,4,332,8619,602
Stakeholder Management,4,332,8620,621
Trend Forecasting,4,332,8621,603
Visual Communication,4,332,8622,616
Aesthetic and Design Sensibility,3,1736,8623,606
Brand Management,3,1736,8624,595
Business Presentation Delivery,3,1736,8625,593
Conceptual Thinking,3,1736,8626,587
Content Development and Strategy,4,1736,8627,611
Critical Thinking,3,1736,8628,588
Cultural Sensitivity for Design,3,1736,8629,607
Design Writing,4,1736,8630,612
Empathetic Design,3,1736,8631,609
Imagination and Exploration,3,1736,8632,610
Narrative Design,4,1736,8633,614
Stakeholder Management,3,1736,8634,621
Trend Forecasting,3,1736,8635,603
Visual Communication,3,1736,8636,616
Aesthetic and Design Sensibility,3,222,8637,606
Business Presentation Delivery,3,222,8638,593
Conceptual Thinking,3,222,8639,587
Critical Thinking,3,222,8640,588
Cultural Sensitivity for Design,3,222,8641,607
Data Analysis and Interpretation,2,222,8642,589
Design Creation and Development,3,222,8643,622
Design Sketching,3,222,8644,623
Design Standards and Specification,3,222,8645,624
Design Sustainability and Ethics Management,3,222,8646,604
Design Thinking Practice,3,222,8647,608
Digital and Physical Prototyping,3,222,8648,625
Empathetic Design,3,222,8649,609
Form Giving,3,222,8650,626
Imagination and Exploration,3,222,8651,610
Intellectual Property Management,2,222,8652,605
Material Studies and Production Processes,3,222,8653,628
Narrative Design,2,222,8654,614
Product and Production Engineering,3,222,8655,629
Systems Thinking,3,222,8656,591
Technical Drawing,3,222,8657,632
User Experience Design,3,222,8658,633
Visual Communication,3,222,8659,616
Aesthetic and Design Sensibility,4,979,8660,606
Business Presentation Delivery,4,979,8661,593
Conceptual Thinking,4,979,8662,587
Contract Development and Management,4,979,8663,620
Critical Thinking,4,979,8664,588
Cultural Sensitivity for Design,4,979,8665,607
Data Analysis and Interpretation,3,979,8666,589
Design Creation and Development,4,979,8667,622
Design Sketching,4,979,8668,623
Design Standards and Specification,4,979,8669,624
Design Sustainability and Ethics Management,4,979,8670,604
Design Thinking Practice,4,979,8671,608
Design Writing,3,979,8672,612
Digital and Physical Prototyping,4,979,8673,625
Empathetic Design,4,979,8674,609
Form Giving,4,979,8675,626
Imagination and Exploration,4,979,8676,610
Intellectual Property Management,3,979,8677,605
Material Studies and Production Processes,4,979,8678,628
Narrative Design,3,979,8679,614
Product and Production Engineering,4,979,8680,629
Project Management,4,979,8681,618
Proposal Writing Development,3,979,8682,615
Stakeholder Management,4,979,8683,621
Systems Thinking,4,979,8684,591
Technical Drawing,4,979,8685,632
User Experience Design,4,979,8686,633
Visual Communication,4,979,8687,616
Aesthetic and Design Sensibility,4,1511,8688,606
Brand Management,4,1511,8689,595
Business Presentation Delivery,5,1511,8690,593
Conceptual Thinking,4,1511,8691,587
Content Development and Strategy,4,1511,8692,611
Cultural Sensitivity for Design,4,1511,8693,607
Data and Information Visualisation,5,1511,8694,590
Design Creation and Development,4,1511,8695,622
Design Sketching,5,1511,8696,623
Design Standards and Specification,4,1511,8697,624
Digital and Physical Prototyping,3,1511,8698,625
Empathetic Design,4,1511,8699,609
Imagination and Exploration,4,1511,8700,610
Narrative Design,5,1511,8701,614
